championship_name,event_name,round_name,state,rank,name,total
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,43,MRITUNJAY SIKDAR,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,44,AKSHAJ GYANESHWAR,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,45,MANAS SURENDRA DEOLEKAR,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,46,UDAY BHAN SINGH,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,47,HARSHIT SINGH RATHORE,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,T.N.,48,VARUN SELVARAJ,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,49,SAMARTH DANGAYACH,31
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,50,JAGDEEP SINGH SHEKHAWAT,31
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,51,ANMOL SINGH TOMAR,31
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,52,SUMIT THAKUR,30
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,53,ROBIN KUMAR,30
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,54,MUKUL SHOKEEN,30
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,55,ROHAN MISHRA,30
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,56,TARUN KUMAR GUNJA,30
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,PUN,57,CHARANJIT SINGH,28
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,58,SAYED SAADAT ALI,27
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,59,AVINASH SINGH,26
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,60,AZAAN AHMAD,26
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,61,MUMTAZ JAVED KHAN,26
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,62,SACHIN SINGH SHEKHAWAT,26
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,TRA,63,RANGAIAH RAMAKRISHNAN COIMBATORE,24
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,64,SANJOY ADAK,24
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,65,MAYANK BANSAL,24
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,66,DIPANKAR PATRA,23
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,67,GURDEV SINGH,22
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,68,AJAY RATHORE,21
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,69,SUVAJIT PRAMANIK,21
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,70,AMIT AGARWAL,20
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,71,SUBHANKAR PATRA PATRA,19
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,72,ABHINAV CHAUDHARY,18
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,73,SANDEEP VERMA,16
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,74,SARTHAK KUMAR,14
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,75,SAQIB KHAN,14
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,76,RAJINDER KUMAR,11
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,77,DIVYARAJ SINGH,9
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,-,ASHWINIKUMAR PRAMOD SAWANT,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,-,DINESH KUMAR,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,-,ISHAN BALI,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,-,ISHIT NALIN DOSHI,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,PUN,-,JUGAAD SINGH SEKHON,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,KARAN SINGH,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,-,MASAD AHMAD RIZVI,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,-,MOHAMMAD MAHADIUR RAHMAN,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,A.P.,-,MUMMIDI SIVA SAI RAM SWAROOP,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,RAJ KUMAR,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,-,SANJAY SARUP,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,TRA,-,SYED SARWAR AHMED QADRI NADEEM,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,TARIQ KHURSHED,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,WASIQ AHMED,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,I,YUVARAJ CHAVAN,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,II,LAKAVATH SURESH,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,III,SAURABH CHAUDHARY,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,IV,DEVRAJ SINGH,25
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,RAJ,I,PRITHVIRAJ SINGH RATHORE,42
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,RAJ,II,ABBAD SAIDI,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,RAJ,III,UDHAV SINGH RATHORE,40
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,IV,DIGVIJAY CHAUDHARY,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,PUN,V,BHAI SHIRAZ SINGH SIDHU,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,VI,DEERGH CHAUHAN,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,ARMY,VII,YUVARAJ CHAVAN,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,HAR,VIII,LAKSHYA ATREE,37
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,9,ABAAN ALI,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,10,MOHD AMAAN,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,HAR,11,PRIKSHIT ARYA,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,12,AARAV ANAND,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,MAH,13,ADITYA MAHESH GHULE,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,14,ARYAN DESHMUKH KHONGWAR,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,KAR,15,VARUN B Y,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,MAH,16,SHAURYA AJAY BHOSALE,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,H.P.,17,ARSH CHAUHAN,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,18,SYED AHYAAN ALI,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,ARMY,19,LAKAVATH SURESH,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,20,MRITUNJAY SIKDAR,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,DEL,21,AKSHAJ GYANESHWAR,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,22,HAMZA NABI,31
