championship_name,event_name,round_name,state,rank,name,total
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,C,VASANT SURESH PATEL SHOTGUN JAIPUR,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,IQBAL KHAN,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,MUNEER -UR- RAHMAN,40
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,YUVRAJ SINGH,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,MOHAMMAED SHARUKH,42
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,C,MRITUNJAY SIKDAR,43
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,C,AKSHAJ GYANESHWAR,44
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,C,MANAS SURENDRA DEOLEKAR,45
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,UDAY BHAN SINGH,46
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,HARSHIT SINGH RATHORE,47
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,T.N.,C,VARUN SELVARAJ,48
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,SAMARTH DANGAYACH,49
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,JAGDEEP SINGH SHEKHAWAT,50
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,C,ANMOL SINGH TOMAR,51
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,C,SUMIT THAKUR,52
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,C,ROBIN KUMAR,53
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,C,MUKUL SHOKEEN,54
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,ROHAN MISHRA,55
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,C,TARUN KUMAR GUNJA,56
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,PUN,C,CHARANJIT SINGH,57
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,SAYED SAADAT ALI,58
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,C,AVINASH SINGH SHOTGUN JAIPUR,59
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,C,AZAAN AHMAD,60
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,C,MUMTAZ JAVED KHAN,61
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,SACHIN SINGH SHEKHAWAT,62
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,TRA,C,RANGAIAH RAMAKRISHNAN COIMBATORE,63
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,C,SANJOY ADAK,64
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,C,MAYANK BANSAL,65
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,C,DIPANKAR PATRA,66
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,C,GURDEV SINGH,67
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,AJAY RATHORE,68
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,C,SUVAJIT PRAMANIK,69
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,AMIT AGARWAL,70
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,C,SUBHANKAR PATRA PATRA,71
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,C,ABHINAV CHAUDHARY,72
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,C,SANDEEP VERMA,73
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,C,SARTHAK KUMAR,74
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,SAQIB KHAN,75
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,C,RAJINDER KUMAR,76
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,DIVYARAJ SINGH,77
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,-,ASHWINIKUMAR PRAMOD SAWANT,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,-,DINESH KUMAR SHOTGUN JAIPUR,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,-,ISHAN BALI,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,-,ISHIT NALIN DOSHI,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,PUN,-,JUGAAD SINGH SEKHON,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,KARAN SINGH,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,-,MASAD AHMAD RIZVI,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,W.B.,-,MOHAMMAD MAHADIUR RAHMAN,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,A.P.,-,MUMMIDI SIVA SAI RAM SWAROOP,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,RAJ KUMAR,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,-,SANJAY SARUP,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,TRA,-,SYED SARWAR AHMED QADRI NADEEM,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,TARIQ KHURSHED,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,-,WASIQ AHMED SHOTGUN JAIPUR,DNS
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,I,YUVARAJ CHAVAN,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,II,LAKAVATH SURESH,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,III,SAURABH CHAUDHARY,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-74) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP SERVICES ONLY (INDIVIDUAL),,ARMY,IV,DEVRAJ SINGH SHOTGUN JAIPUR,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,RAJ,I,PRITHVIRAJ SINGH RATHORE,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,RAJ,II,ABBAD SAIDI,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,RAJ,III,UDHAV SINGH RATHORE,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,IV,DIGVIJAY CHAUDHARY,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,PUN,V,BHAI SHIRAZ SINGH SIDHU,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,VI,DEERGH CHAUHAN,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,ARMY,VII,YUVARAJ CHAVAN,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,HAR,VIII,LAKSHYA ATREE,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,C,ABAAN ALI,9
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,C,MOHD AMAAN,10
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,HAR,C,PRIKSHIT ARYA,11
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,U.P.,C,AARAV ANAND,12
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,MAH,C,ADITYA MAHESH GHULE,13
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,C,ARYAN DESHMUKH KHONGWAR,14
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,KAR,C,VARUN B Y,15
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,MAH,C,SHAURYA AJAY BHOSALE,16
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,H.P.,C,ARSH CHAUHAN,17
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,C,SYED AHYAAN ALI,18
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,ARMY,C,LAKAVATH SURESH SHOTGUN JAIPUR,19
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,M.P.,C,MRITUNJAY SIKDAR,20
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-75) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP JUNIOR MEN (INDIVIDUAL),,DEL,C,AKSHAJ GYANESHWAR,21
