championship_name,event__name,round_name,rank,name,dob,score
2018 Asian Games,50m Rifle 3 Positions Men,Final,2,RAJPUT Sanjeev,5 JAN 1981,452.7
2018 Asian Games,50m Rifle 3 Positions Men,Final,3,MATSUMOTO Takayuki,10 JAN 1984,441.4
2018 Asian Games,50m Rifle 3 Positions Men,Final,4,YANG Haoran,22 FEB 1996,431.1
2018 Asian Games,50m Rifle 3 Positions Men,Final,5,YURKOV Yuriy,11 MAR 1983,418.8
2018 Asian Games,50m Rifle 3 Positions Men,Final,6,SEDAGHAT Mahyar,18 APR 1996,406.0
2018 Asian Games,50m Rifle 3 Positions Men,Final,7,TORTUNGPANICH Napis,29 MAR 1995,396.0
2018 Asian Games,50m Rifle 3 Positions Men,Final,8,VONGSUKDEE T,,394.7
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,1,YANG Haoran,22 FEB 1996,392
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,2,HUI Zicheng,2 JUN 1989,390
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,3,TORTUNGPANICH Napis,29 MAR 1995,386
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,4,SEDAGHAT Mahyar,18 APR 1996,389
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,5,VONGSUKDEE Thongphaphum,,391
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,6,MATSUMOTO Takayuki,10 JAN 1984,390
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,7,RAJPUT Sanjeev,5 JAN 1981,389
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,8,YURKOV Yuriy,11 MAR 1983,383
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,9,CHEON Minho,6 APR 1987,387
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,10,OTHMAN Mohamad Lutfi,6 NOV 1994,384
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,11,SHEORAN Akhil,23 JUL 1995,382
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,12,NOROUZIYAN Pourya,22 JAN 1992,391
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,13,KLEIMYONOV Alexey,9 JAN 1984,384
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,14,ADIL Ghufran,8 DEC 1993,383
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,15,YAMASHITA Toshikazu,21 FEB 1977,388
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,16,AL KHATRI Hamed Said Masoud,,382
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,17,HAJI Mahmood,11 MAR 1991,388
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,18,NYANTAI Bayaraa,25 SEP 1991,385
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,19,KIM Hyeonjun,18 OCT 1992,381
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,20,VALDEZ Jayson,15 SEP 1995,376
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,21,ALI Husain,30 AUG 1988,378
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,22,AL-MUHANNADI Ali,3 OCT 1990,386
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,23,NGUYEN Thanh Nam,6 APR 1992,383
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,24,FIRMANSYAH Dwi,29 MAY 1987,374
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,25,FARID Zeeshan Ul Shakir,,379
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,26,ISSAM BADAR DOSHA.,,376
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,27,NGUYEN Duy Hoang,5 AUG 1985,373
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,28,CHOWDHURY Md Shovon,16 APR 1993,371
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,29,ISLAM Md Robiul,12 MAR 1999,374
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,30,SAHURUN Sahurun,1 JAN 1977,369
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,31,ABDULLA Mohamed,14 APR 1977,376
2018 Asian Games,50m Rifle 3 Positions Men,Qualification,32,AHMED Ibrahim,29 SEP 1986,335
2018 Asian Games,300m Standard Rifle Men,Competition,1,CHOI Youngjeon,3 MAR 1981,196
2018 Asian Games,300m Standard Rifle Men,Competition,2,ALHARBI Hussain Ghuwayli,,190
2018 Asian Games,300m Standard Rifle Men,Competition,3,LEE Wongyu,13 OCT 1993,190
2018 Asian Games,300m Standard Rifle Men,Competition,4,HARJINDER SINGH,23 MAR 1990,182
2018 Asian Games,300m Standard Rifle Men,Competition,5,AMIT KUMAR,1 JAN 1987,184
2018 Asian Games,300m Standard Rifle Men,Competition,6,CAO Bo,10 DEC 1998,188
2018 Asian Games,300m Standard Rifle Men,Competition,7,SAPUTRA Irawan,1 JAN 1988,181
2018 Asian Games,300m Standard Rifle Men,Competition,8,SUN Jian,23 OCT 1991,184
2018 Asian Games,300m Standard Rifle Men,Competition,9,ALJUHAYDILI Abdulrahman Saad,,184
2018 Asian Games,300m Standard Rifle Men,Competition,10,PRAYUDA Farid,2 NOV 1995,187
2018 Asian Games,300m Standard Rifle Men,Competition,11,HAJI Mahmood,11 MAR 1991,185
2018 Asian Games,300m Standard Rifle Men,Competition,12,AL ABRI Yousuf Mohammed Nasser,,180
2018 Asian Games,300m Standard Rifle Men,Competition,13,AL MALKI Salyem Mohamed Said,,172
2018 Asian Games,10m Air Pistol Men,Final,1,CHAUDHARY Saurabh,11 MAY 2002,240.7
2018 Asian Games,10m Air Pistol Men,Final,2,MATSUDA Tomoyuki,12 DEC 1975,239.7
2018 Asian Games,10m Air Pistol Men,Final,3,VERMA Abhishek,1 AUG 1989,219.3
2018 Asian Games,10m Air Pistol Men,Final,4,WU Jiayu,30 APR 1997,197.6
2018 Asian Games,10m Air Pistol Men,Final,5,JIN Jongoh,24 SEP 1979,178.4
2018 Asian Games,10m Air Pistol Men,Final,6,LEE Daemyung,14 SEP 1988,156.4
2018 Asian Games,10m Air Pistol Men,Final,7,ISSACHENKO Vladimir,27 DEC 1982,136.1
2018 Asian Games,10m Air Pistol Men,Final,8,WANG Mengyi,25 SEP 1992,114.6
2018 Asian Games,10m Air Pistol Men,Qualification,1,CHAUDHARY Saurabh,11 MAY 2002,586-23x
2018 Asian Games,10m Air Pistol Men,Qualification,2,JIN Jongoh,24 SEP 1979,584-28x
2018 Asian Games,10m Air Pistol Men,Qualification,3,WU Jiayu,30 APR 1997,582-20x
2018 Asian Games,10m Air Pistol Men,Qualification,4,MATSUDA Tomoyuki,12 DEC 1975,581-24x
2018 Asian Games,10m Air Pistol Men,Qualification,5,WANG Mengyi,25 SEP 1992,581-19x
2018 Asian Games,10m Air Pistol Men,Qualification,6,VERMA Abhishek,1 AUG 1989,580-21x
2018 Asian Games,10m Air Pistol Men,Qualification,7,ISSACHENKO Vladimir,27 DEC 1982,579-23x
2018 Asian Games,10m Air Pistol Men,Qualification,8,LEE Daemyung,14 SEP 1988,579-21x
2018 Asian Games,10m Air Pistol Men,Qualification,9,HOANG Xuan Vinh,6 OCT 1974,579-18x
2018 Asian Games,10m Air Pistol Men,Qualification,10,GAI Bin,2 JUN 1968,578-21x
2018 Asian Games,10m Air Pistol Men,Qualification,11,YE,26 MAY 1983,577-18x
2018 Asian Games,10m Air Pistol Men,Qualification,12,SONODA Yoshinobu,1 SEP 1982,575-19x
2018 Asian Games,10m Air Pistol Men,Qualification,13,KIM Song Guk,5 OCT 1985,575-18x
2018 Asian Games,10m Air Pistol Men,Qualification,14,TRAN Quoc Cuong,27 JUL 1974,574-21x
2018 Asian Games,10m Air Pistol Men,Qualification,15,SHIRGAL Buyanzaya,8 MAR 1995,574-17x
2018 Asian Games,10m Air Pistol Men,Qualification,16,AUAPINYAKUL Natphanlert,,574-14x
2018 Asian Games,10m Air Pistol Men,Qualification,17,ALANAZI Atallah Nidaa,22 FEB 1988,573-15x
2018 Asian Games,10m Air Pistol Men,Qualification,18,YUNUSMETOV Rashid,9 JUL 1979,573-13x
2018 Asian Games,10m Air Pistol Men,Qualification,19,ENKHTAIVAN Davaakhuu,12 JUN 1989,573-12x
2018 Asian Games,10m Air Pistol Men,Qualification,20,KULCHAIRATTANA Pongpol,29 OCT 1988,572-20x
2018 Asian Games,10m Air Pistol Men,Qualification,21,FOROUGHI Javad,11 SEP 1979,572-15x
2018 Asian Games,10m Air Pistol Men,Qualification,22,AHMED Shakil,1 MAY 1995,570-19x
2018 Asian Games,10m Air Pistol Men,Qualification,23,PRATAMA Deny,10 FEB 1995,570-14x
2018 Asian Games,10m Air Pistol Men,Qualification,24,WONG Johnathan Guanjie,23 AUG 1992,570-12x
2018 Asian Games,10m Air Pistol Men,Qualification,25,BARKHORDARI Ebrahim,14 SEP 1982,569-17x
2018 Asian Games,10m Air Pistol Men,Qualification,26,MAN Chun Kit,20 AUG 1978,568-13x
2018 Asian Games,10m Air Pistol Men,Qualification,27,AL-ABRI Ismail Nasser Khamis,,566-13x
2018 Asian Games,10m Air Pistol Men,Qualification,28,KYAW SWAR Win,23 MAY 1983,566-13x
2018 Asian Games,10m Air Pistol Men,Qualification,29,WONG Han Xuan,3 MAR 1997,565-17x
2018 Asian Games,10m Air Pistol Men,Qualification,30,WONG Siu Lung,1 APR 1964,565-11x
2018 Asian Games,10m Air Pistol Men,Qualification,31,ALAMEERI Ahmed,8 DEC 1982,560-11x
2018 Asian Games,10m Air Pistol Men,Qualification,32,ALDOSARI Safar Mohammed,,560-11x
2018 Asian Games,10m Air Pistol Men,Qualification,33,SETIAWAN Iwan,29 OCT 1981,558-10x
2018 Asian Games,10m Air Pistol Men,Qualification,34,FAYZULLAEV Bezhan,5 SEP 2002,555
2018 Asian Games,10m Air Pistol Men,Qualification,35,AL SHAIBA Osama Abdulnasser,,554-10x
2018 Asian Games,10m Air Pistol Men,Qualification,36,HOSSAIN Md Piash,1 MAR 2000,547-11x
2018 Asian Games,10m Air Pistol Men,Qualification,37,ALBLOOSHI Othman,27 JAN 1968,544
2018 Asian Games,10m Air Pistol Men,Qualification,38,PHALICHAN Phatthana,27 JUL 1974,531
2018 Asian Games,10m Air Pistol Men,Qualification,39,ARZAMASTSEV Sergei,7 MAR 1971,508
2018 Asian Games,10m Air Pistol Men,Qualification,40,ERKINBAEV Sanzharbek,3 MAY 1978,12
2018 Asian Games,25m Rapid Fire Pistol Men,Final,1,YAO Zhaonan,27 AUG 1995,34
2018 Asian Games,25m Rapid Fire Pistol Men,Final,2,LIN Junmin,31 AUG 1996,33
2018 Asian Games,25m Rapid Fire Pistol Men,Final,3,KIM Junhong,28 OCT 1990,29
2018 Asian Games,25m Rapid Fire Pistol Men,Final,4,HA Minh Thanh,4 JUN 1985,20
2018 Asian Games,25m Rapid Fire Pistol Men,Final,5,PHAN Cong Minh,14 OCT 1994,13
2018 Asian Games,25m Rapid Fire Pistol Men,Final,6,YULIANTO Anang,12 DEC 1976,7
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,1,KIM Junhong,28 OCT 1990,296
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,2,LIN Junmin,31 AUG 1996,295
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,3,YAO Zhaonan,27 AUG 1995,292
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,4,YULIANTO Anang,12 DEC 1976,285
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,5,PHAN Cong Minh,14 OCT 1994,291
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,6,HA Minh Thanh,4 JUN 1985,289
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,7,SONG Jongho,1 MAR 1990,292
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,8,BASHIR Ghulam Mustafa,4 JUL 1987,290
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,9,ANISH Anish,26 SEP 2002,293
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,10,ENKHTAIVAN Davaakhuu,12 JUN 1989,292
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,11,SHUKLA Shivam,3 MAR 1997,289
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,12,AKHTAR Muhammad Khalil,15 APR 1984,283
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,13,AKIYAMA Teruyoshi,25 DEC 1971,290
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,14,PHURIHIRANPHAT Isaranuudom,,286
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,15,TRIMARTANTO Totok,28 MAR 1977,281
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,16,AL HASHMI Said Muslem Khalfan,,283
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,17,AL SHAMARI Ahmad Zayed,30 JAN 1998,284
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,18,VOKHMYANIN Sergey,4 OCT 1982,279
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,19,AL TAMIMI Mohd Hassan,7 MAR 1977,276
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,20,KARNDEE Sriyanon,16 SEP 1988,283
2018 Asian Games,25m Rapid Fire Pistol Men,Qualification,21,SHIRGAL Buyanzaya,8 MAR 1995,268
2018 Asian Games,Trap Men,Final,1,YANG Kunpi,11 AUG 1998,48
2018 Asian Games,Trap Men,Final,2,LAKSHAY Lakshay,4 NOV 1998,43
2018 Asian Games,Trap Men,Final,3,AHN Daemyeong,23 NOV 1990,30
2018 Asian Games,Trap Men,Final,4,SANDHU Manavjit Singh,3 NOV 1976,26
2018 Asian Games,Trap Men,Final,5,EUM Jiwon,24 JAN 1982,23
2018 Asian Games,Trap Men,Final,6,TOPACIO Hagen Alexander,,18
2018 Asian Games,Trap Men,Qualification,1,SANDHU Manavjit Singh,3 NOV 1976,12
2018 Asian Games,Trap Men,Qualification,2,EUM Jiwon,24 JAN 1982,11
2018 Asian Games,Trap Men,Qualification,3,AHN Daemyeong,23 NOV 1990,10
2018 Asian Games,Trap Men,Qualification,4,LAKSHAY Lakshay,4 NOV 1998,0
2018 Asian Games,Trap Men,Qualification,5,TOPACIO Hagen Alexander,,5
2018 Asian Games,Trap Men,Qualification,6,YANG Kunpi,11 AUG 1998,4
2018 Asian Games,Trap Men,Qualification,7,MOUSSA Alain,1 JAN 1984,117
2018 Asian Games,Trap Men,Qualification,8,ALMUDAF Khaled,12 JUN 1978,117
2018 Asian Games,Trap Men,Qualification,9,ALFAIHAN Abdulrahman,24 JUN 1986,117
2018 Asian Games,Trap Men,Qualification,10,DU Yu,19 OCT 1986,117
2018 Asian Games,Trap Men,Qualification,11,AL RUMAIHI Mohammed Ahmed,,117
2018 Asian Games,Trap Men,Qualification,12,KHASSYANOV Viktor,18 JUN 1984,117
2018 Asian Games,Trap Men,Qualification,13,SHIH Junghung,27 SEP 1985,117
2018 Asian Games,Trap Men,Qualification,14,NADEEM Muhammad Farrukh,,117
2018 Asian Games,Trap Men,Qualification,15,ALKENDI Hamad,1 JUL 1969,116
2018 Asian Games,Trap Men,Qualification,16,HAN Fei,24 JAN 1988,116
2018 Asian Games,Trap Men,Qualification,17,MOGILEVSKIY Andrey,18 JUN 1989,115
2018 Asian Games,Trap Men,Qualification,18,IQBAL Aamer,1 JAN 1972,115
2018 Asian Games,Trap Men,Qualification,19,SRESTHAPORN Savate,13 APR 1963,115
2018 Asian Games,Trap Men,Qualification,20,KHEJAIM Mohammed Ali,8 MAY 1983,114
2018 Asian Games,Trap Men,Qualification,21,NGUYEN Hoang Diep,7 JAN 1980,113
2018 Asian Games,Trap Men,Qualification,22,BEJJANI Elie,21 JUL 1975,112
2018 Asian Games,Trap Men,Qualification,23,PARVARESH,,112
2018 Asian Games,Trap Men,Qualification,24,ALSHAMSI Saif,1 AUG 1968,112
2018 Asian Games,Trap Men,Qualification,25,LE Nghia,7 DEC 1982,111
2018 Asian Games,Trap Men,Qualification,26,CHEN Seong Fook,18 DEC 1965,110
2018 Asian Games,Trap Men,Qualification,27,ULARNWIRIYAKUL Chartchai,,104
2018 Asian Games,Trap Men,Qualification,28,HAFEZI Ali,21 MAR 1989,103
2018 Asian Games,Trap Men,Qualification,29,RIADI Slamet,12 APR 1974,101
2018 Asian Games,Trap Men,Qualification,30,ARISTYAWAN Bagus Sholeh,,84
2018 Asian Games,Trap Men,Qualification,1,SANDHU Manavjit Singh,3 NOV 1976,119
2018 Asian Games,Trap Men,Qualification,1,LAKSHAY Lakshay,4 NOV 1998,119
2018 Asian Games,Trap Men,Qualification,1,AHN Daemyeong,23 NOV 1990,119
2018 Asian Games,Trap Men,Qualification,1,EUM Jiwon,24 JAN 1982,119
2018 Asian Games,Trap Men,Qualification,5,YANG Kunpi,11 AUG 1998,118
2018 Asian Games,Trap Men,Qualification,5,TOPACIO Hagen Alexander,,118
2018 Asian Games,Trap Men,Qualification,7,MOUSSA Alain,1 JAN 1984,117
2018 Asian Games,Trap Men,Qualification,8,ALMUDAF Khaled,12 JUN 1978,117
2018 Asian Games,Trap Men,Qualification,9,ALFAIHAN Abdulrahman,24 JUN 1986,117
2018 Asian Games,Trap Men,Qualification,10,DU Yu,19 OCT 1986,117
2018 Asian Games,Trap Men,Qualification,11,AL RUMAIHI Mohammed Ahmed,,117
2018 Asian Games,Trap Men,Qualification,12,KHASSYANOV Viktor,18 JUN 1984,117
2018 Asian Games,Trap Men,Qualification,13,SHIH Junghung,27 SEP 1985,117
2018 Asian Games,Trap Men,Qualification,14,NADEEM Muhammad Farrukh,,117
2018 Asian Games,Trap Men,Qualification,15,ALKENDI Hamad,1 JUL 1969,116
2018 Asian Games,Trap Men,Qualification,16,HAN Fei,24 JAN 1988,116
2018 Asian Games,Trap Men,Qualification,17,MOGILEVSKIY Andrey,18 JUN 1989,115
2018 Asian Games,Trap Men,Qualification,18,IQBAL Aamer,1 JAN 1972,115
2018 Asian Games,Trap Men,Qualification,19,SRESTHAPORN Savate,13 APR 1963,115
2018 Asian Games,Trap Men,Qualification,20,KHEJAIM Mohammed Ali,8 MAY 1983,114
2018 Asian Games,Trap Men,Qualification,21,NGUYEN Hoang Diep,7 JAN 1980,113
2018 Asian Games,Trap Men,Qualification,22,BEJJANI Elie,21 JUL 1975,112
2018 Asian Games,Trap Men,Qualification,23,PARVARESH,,112
2018 Asian Games,Trap Men,Qualification,24,ALSHAMSI Saif,1 AUG 1968,112
2018 Asian Games,Trap Men,Qualification,25,LE Nghia,7 DEC 1982,111
2018 Asian Games,Trap Men,Qualification,26,CHEN Seong Fook,18 DEC 1965,110
2018 Asian Games,Trap Men,Qualification,27,ULARNWIRIYAKUL Chartchai,,104
2018 Asian Games,Trap Men,Qualification,28,HAFEZI Ali,21 MAR 1989,103
2018 Asian Games,Trap Men,Qualification,29,RIADI Slamet,12 APR 1974,101
2018 Asian Games,Trap Men,Qualification,30,ARISTYAWAN Bagus Sholeh,,84
2018 Asian Games,Skeet Men,Final,1,ALRASHIDI Mansour,4 DEC 1984,4
2018 Asian Games,Skeet Men,Final,2,JIN Di,15 DEC 1978,3
2018 Asian Games,Skeet Men,Final,3,ALMANSOORI Saif,2 SEP 1973,43
2018 Asian Games,Skeet Men,Final,4,ALMUTAIRI Saeid Mugbel,23 SEP 1968,31
2018 Asian Games,Skeet Men,Final,5,CHAND Usman,18 DEC 1984,21
2018 Asian Games,Skeet Men,Final,6,MUKHAMEDIYEV Vladislav,23 JUL 1975,12
2018 Asian Games,Skeet Men,Qualification,1,MUKHAMEDIYEV Vladislav,23 JUL 1975,124
2018 Asian Games,Skeet Men,Qualification,2,ALRASHIDI Mansour,4 DEC 1984,123
2018 Asian Games,Skeet Men,Qualification,3,CHAND Usman,18 DEC 1984,2
2018 Asian Games,Skeet Men,Qualification,4,ALMUTAIRI Saeid Mugbel,23 SEP 1968,1
2018 Asian Games,Skeet Men,Qualification,5,JIN di,15 DEC 1978,12
2018 Asian Games,Skeet Men,Qualification,6,ALMANSOORI Saif,2 SEP 1973,11
2018 Asian Games,Skeet Men,Qualification,7,ALRASHIDI Abdullah,21 AUG 1963,9
2018 Asian Games,Skeet Men,Qualification,8,AL ATTIYA Nasser Saleh,21 DEC 1970,5
2018 Asian Games,Skeet Men,Qualification,9,HATHAICHUKIAT Jiranunt,30 DEC 1986,1
2018 Asian Games,Skeet Men,Qualification,10,YECHSHENKO Alexandr,9 SEP 1987,120
2018 Asian Games,Skeet Men,Qualification,11,ORIHARA Kenji,1 FEB 1973,120
2018 Asian Games,Skeet Men,Qualification,12,AHMAD Mohammad,17 SEP 1970,120
2018 Asian Games,Skeet Men,Qualification,13,SHEIKH Sheeraz,31 JUL 1988,120
2018 Asian Games,Skeet Men,Qualification,14,BAJWA Angad Vir Singh,29 NOV 1995,119
2018 Asian Games,Skeet Men,Qualification,15,HWANG Jungsoo,18 MAY 1982,119
2018 Asian Games,Skeet Men,Qualification,16,HAMAD Rashid Saleh,18 OCT 1987,119
2018 Asian Games,Skeet Men,Qualification,17,MOHAMED Hasan,13 APR 1986,118
2018 Asian Games,Skeet Men,Qualification,18,TSAI Ihsuan,21 JAN 1992,118
2018 Asian Games,Skeet Men,Qualification,19,LEE Jongjun,16 DEC 1989,117
2018 Asian Games,Skeet Men,Qualification,20,YANG Jiang,19 SEP 1990,117
2018 Asian Games,Skeet Men,Qualification,21,DOOSTIRAMI Ali,26 JUN 1972,116
2018 Asian Games,Skeet Men,Qualification,22,LEE Mengyuan,25 AUG 1994,113
2018 Asian Games,Skeet Men,Qualification,23,SATTI Abdul Sattar Ali,17 MAR 1976,112
2018 Asian Games,Skeet Men,Qualification,24,JANGPANICH Tanapat,31 AUG 1997,111
2018 Asian Games,Skeet Men,Qualification,25,YOKOUCHI Makoto,8 AUG 1974,107
2018 Asian Games,Skeet Men,Qualification,26,ANCHETA Joaquin Miguel,15 DEC 1980,107
2018 Asian Games,Skeet Men,Qualification,27,BESHARATI Ramtin,11 SEP 1982,107
2018 Asian Games,Skeet Men,Qualification,28,HASAN S M Sabbir,29 NOV 1994,95
2018 Asian Games,Skeet Men,Qualification,29,SANTOSO Anas Muhsinun Joko,,78
2018 Asian Games,Skeet Men,Qualification,30,HILMANSYAH Hilmansyah,20 MAY 1990,76
2018 Asian Games,Double Trap Men,Final,1,SHIN Hyunwoo,6 FEB 1984,74
